Date_extraction|Status|Name_of_data_flow|Type_of_request|value_of_the_parameter|Run_number|Area_Level1|Value_extracted1|Value_extracted2|Value_extracted3|Value_extracted4|EudraCT-number|Sponsor-protocol-number|Start-date|Sponsor-name|Full-tittle|Medical-condition|Disease-version|Disease-soc-term|Disease-classification-code|Disease-term|Disease-level|Population-age|Gender|Trial-protocol|Trial results
20170102_004904|0|Clinicaltrials|nc|takeda|19|Total number of trials|nc|nc|nc|nc|2007-003077-44|IT-PIO-109|2008-02-28|TAKEDA|EffectS of PiogLitazone on ENDOthelial progenitoR cells in type 2 diabetic patients with vascular complications - The SPLENDOR Study|Type 2 diabetes|9.1| |10012654|Diabetic complications cardiovascular|HLT|Adults, Elderly|Male, Female|IT (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|20|Total number of trials|nc|nc|nc|nc|2006-000725-54|PIOc/LAN07/TIF|2006-09-29|TAKEDA|Double-blind, randomized, multicenter, parallel-group study to evaluate the effects of pioglitazone on metabolic syndrome in patients with type 2 diabetes treated with metformin|Type 2 diabetes and metabolic syndrome IDF definition|9.1| |10022491|Insulin resistant diabetes|LLT|Adults, Elderly|Male, Female|IT (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|21|Total number of trials|nc|nc|nc|nc|2006-002354-30|ATS K019 / D-Pio-109|2006-07-27|Takeda Pharma GmbH|Effect of Acute Insulin Intervention followed by Pioglitazone and Metformin Treatment on Metabolic Parameters in Type 2 Diabetic Patients with inadequate Metabolic Control|Diabetes Type 2| | | | | |Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|22|Total number of trials|nc|nc|nc|nc|2014-004506-15|TAK-390MR_204|2015-12-10|Takeda Development Centre Europe Ltd.|A Phase 2, Double-Blind, 12 Week, Multicenter Study to Assess the Safety and Effectiveness of Daily Oral Administration of Dexlansoprazole Delayed-Release Capsules in Pediatric Subjects Aged 1 to ...|Symptomatic nonerosive GERD in paediatric subjects aged 1 to 11 years|18.1|100000004856|10066874|Gastroesophageal reflux disease|LLT|Infants and toddlers, Under 18|Male, Female|BE (Ongoing) IT (Temporarily Halted) PT (Temporarily Halted) PL (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|23|Total number of trials|nc|nc|nc|nc|2013-001788-21|RO-2455-302-RD|2014-04-11|TAKEDA DEVELOPMENT CENTRE EUROPE LTD|A multicenter, randomized, double-blind phase 3 study to evaluate tolerability and pharmacokinetics of 500μg roflumilast once daily with an up-titration regimen in COPD, including an open-label do...|chronic obstructive pulmonary disease (COPD)| | | | | |Adults, Elderly|Male, Female|GB (Ongoing) SK (Completed) DE (Completed) HU (Completed) RO (Ongoing) GR (Completed) BG (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|24|Total number of trials|nc|nc|nc|nc|2005-001218-42|177/2004/U/Sper|2005-01-17|AZIENDA OSPEDALIERA DI BOLOGNA POLICLINICO S. ORSOLA M. MALPIGHI|Clinical role of PPAR gamma activator (pioglitazone) in reducing the gastric phlogosis in patiens with istological gastritis.|Treatment of patients with gastric phlogosis (infected by Helicobacter pylori)|9.1| |10017904|Gastroenteritis helicobacter|LLT|Adults, Elderly|Male, Female|IT (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|25|Total number of trials|nc|nc|nc|nc|2004-003822-80|04/035|2005-01-12|The Leeds Teaching Hospitals NHS Trust|Modulation of Sympathetic Nerve Activity By Pioglitazone In Type 2 Diabetes Mellitus|Type 2 diabetes mellitus| | | | | |Adults, Elderly|Male, Female|GB (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|26|Total number of trials|nc|nc|nc|nc|2004-003238-32|v1|2004-12-13|Dept. of Clinical Pharmacology|Effect of pioglitazone on portal and systemic hemodynamics in patients with advanced cirrhosis|Cirrhosis of the liver| | | | | |Adults, Elderly|Male, Female|AT (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|27|Total number of trials|nc|nc|nc|nc|2009-011776-30|DE-CAN-027 (BLO K027)|2009-09-07|Takeda Pharma GmbH|Clinical Study to Evaluate the Efficacy and Safety of the Combination Therapy Candesartan Cilexetil 32 mg plus Hydrochlorothiazide 25 mg in Patients with Severe Hypertension|Subjects with severe essential hypertension (SBP between 150 mmHg and 200 mmHg AND DBP between 110 mmHg and 120 mmHg) who did not receive any antihypertensive treatment before will be included in t...|9.1| |10015488|Essential hypertension|LLT|Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|28|Total number of trials|nc|nc|nc|nc|2015-000555-24|2015-100752|2016-06-16|Academic Medical Center Amsterdam|Randomized, Placebo-Controlled, Double-Blind, Multicenter Study to Determine the Efficacy and Safety of Vedolizumab in Prevention of Endoscopic Recurrence of Crohn's Disease in Patients with Ileo-c...|Crohn's disease| | | | | |Adults, Elderly|Male, Female|NL (Ongoing) ES (Ongoing) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|29|Total number of trials|nc|nc|nc|nc|2014-005619-18|Calcichew-4001|2015-05-05|Takeda Development Centre Europe Ltd.|A Randomized, Open-Label, 2-Way Cross-over, Phase 4 Study to Evaluate Subject Preference and Acceptability of a New Formulation of Calcichew D3 in Adult Patients Eligible for Calcium and Vitamin D ...|Prevention and treatment of vitamin D and calcium deficiency and adjunct to specific osteoporosis treatment of patients who are at risk of vitamin D and calcium deficiency|18.0|100000004859|10031289|Osteoporosis, unspecified|LLT|Adults, Elderly|Male, Female|GB (Ongoing) DE (Completed) |View results

20170102_004904|4|Clinicaltrials|nc|takeda|29|Total number of trials|nc|nc|nc|nc|2014-005619-18|Calcichew-4001|2015-05-05|Takeda Development Centre Europe Ltd.|A Randomized, Open-Label, 2-Way Cross-over, Phase 4 Study to Evaluate Subject Preference and Acceptability of a New Formulation of Calcichew D3 in Adult Patients Eligible for Calcium and Vitamin D ...|Prevention and treatment of vitamin D and calcium deficiency and adjunct to specific osteoporosis treatment of patients who are at risk of vitamin D and calcium deficiency|18.0|10027433 - Metabolism and nutrition disorders|10027433|Metabolism and nutrition disorders|SOC|Adults, Elderly|Male, Female|GB (Ongoing) DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|30|Total number of trials|nc|nc|nc|nc|2015-001154-14|Vonoprazan-2001|2016-05-23|Takeda Development Centre Europe Ltd|A Randomized, Double-Blind, Proof-of-Concept, Phase 2 Study to Evaluate the Efficacy and Safety of Once Daily Oral Vonoprazan 20 mg or Vonoprazan 40 mg Compared to Esomeprazole 40 mg for the Treatm...|Gastro-Esophageal Reflux Disease|19.0|10017947 - Gastrointestinal disorders|10017885|Gastrooesophageal reflux disease|PT|Adults, Elderly|Male, Female|GB (Ongoing) EE (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|31|Total number of trials|nc|nc|nc|nc|2005-004944-30|AFX01-06|2006-02-23|Takeda Development Centre Europe Ltd|An Open-Label Study to Investigate the Efficacy and Safety of AF37702 Injection in the Treatment of Anemia Caused by Antibody-Mediated Pure Red Cell Aplasia in Patients with Chronic Kidney Disease|Anemia caused by Antibody-Mediated Pure Red Cell Aplasia in Patients with Chronic Kidney Disease|18.0|10005329 - Blood and lymphatic system disorders|10002965|Aplasia pure red cell|PT|Adults, Elderly|Male, Female|GB (Temporarily Halted) DE (Completed) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|32|Total number of trials|nc|nc|nc|nc|2012-001681-15|TAK-390MR_207|2012-10-17|Takeda Global Research & Development Centre (Europe) Ltd|A Phase 2 Multicenter, 36-Week Study to Assess the Safety and Effectiveness of Daily Oral Administration of Dexlansoprazole Delayed-Release Capsules for Healing of Erosive Esophagitis and Maintenan...|Heartburn and Erosive Esophagitis in Adolescent Subjects|14.1|10017947 - Gastrointestinal disorders|10018203|GERD|LLT|Adolescents, Under 18|Male, Female|HU (Completed) BE (Completed) PT (Completed) IT (Ongoing) |View results

20170102_004904|4|Clinicaltrials|nc|takeda|32|Total number of trials|nc|nc|nc|nc|2012-001681-15|TAK-390MR_207|2012-10-17|Takeda Global Research & Development Centre (Europe) Ltd|A Phase 2 Multicenter, 36-Week Study to Assess the Safety and Effectiveness of Daily Oral Administration of Dexlansoprazole Delayed-Release Capsules for Healing of Erosive Esophagitis and Maintenan...|Heartburn and Erosive Esophagitis in Adolescent Subjects|14.1|10017947 - Gastrointestinal disorders|10019326|Heartburn|LLT|Adolescents, Under 18|Male, Female|HU (Completed) BE (Completed) PT (Completed) IT (Ongoing) |View results

20170102_004904|4|Clinicaltrials|nc|takeda|32|Total number of trials|nc|nc|nc|nc|2012-001681-15|TAK-390MR_207|2012-10-17|Takeda Global Research & Development Centre (Europe) Ltd|A Phase 2 Multicenter, 36-Week Study to Assess the Safety and Effectiveness of Daily Oral Administration of Dexlansoprazole Delayed-Release Capsules for Healing of Erosive Esophagitis and Maintenan...|Heartburn and Erosive Esophagitis in Adolescent Subjects|14.1|10017947 - Gastrointestinal disorders|10063657|Erosive esophagitis|LLT|Adolescents, Under 18|Male, Female|HU (Completed) BE (Completed) PT (Completed) IT (Ongoing) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|33|Total number of trials|nc|nc|nc|nc|2014-003509-13|MLN0002-3028|2015-05-15|Takeda Development Centre Europe Ltd|An Open-Label Phase 3b Study to Assess Mucosal Healing in Subjects With Moderately to Severely Active Crohn's Disease Treated With Vedolizumab IV|Crohn's Disease| | | | | |Adults, Elderly|Male, Female|HU (Ongoing) CZ (Ongoing) PL (Ongoing) BE (Ongoing) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|34|Total number of trials|nc|nc|nc|nc|2014-003942-28|MLN0002-3023|2016-05-29|Takeda Development Centre Europe, Ltd.|Randomized, Global, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Vedolizumab IV for the Treatment of Primary Sclerosing Cholangitis, With Underlying...|Primary Sclerosing Cholangitis (PSC) Inflammatory Bowel Disease (IBD)|19.0|100000004871|10036732|Primary sclerosing cholangitis|LLT|Adults, Elderly|Male, Female|ES (Ongoing) BE (Ongoing) GB (Ongoing) HU (Ongoing) SE (Ongoing) CZ (Ongoing) AT (Ongoing) PL (Ongoing) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|34|Total number of trials|nc|nc|nc|nc|2014-003942-28|MLN0002-3023|2016-05-29|Takeda Development Centre Europe, Ltd.|Randomized, Global, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Vedolizumab IV for the Treatment of Primary Sclerosing Cholangitis, With Underlying...|Primary Sclerosing Cholangitis (PSC) Inflammatory Bowel Disease (IBD)|19.0|10017947 - Gastrointestinal disorders|10021972|Inflammatory bowel disease|PT|Adults, Elderly|Male, Female|ES (Ongoing) BE (Ongoing) GB (Ongoing) HU (Ongoing) SE (Ongoing) CZ (Ongoing) AT (Ongoing) PL (Ongoing) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|34|Total number of trials|nc|nc|nc|nc|2014-003942-28|MLN0002-3023|2016-05-29|Takeda Development Centre Europe, Ltd.|Randomized, Global, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Vedolizumab IV for the Treatment of Primary Sclerosing Cholangitis, With Underlying...|Primary Sclerosing Cholangitis (PSC) Inflammatory Bowel Disease (IBD)|19.0|10017947 - Gastrointestinal disorders|10021973|Inflammatory bowel disease NOS|LLT|Adults, Elderly|Male, Female|ES (Ongoing) BE (Ongoing) GB (Ongoing) HU (Ongoing) SE (Ongoing) CZ (Ongoing) AT (Ongoing) PL (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|35|Total number of trials|nc|nc|nc|nc|2012-003111-58|AD-4833/TOMM40_301|2013-09-20|Takeda Development Centre Europe Ltd|A Double Blind, Randomized, Placebo Controlled, Parallel Group Study to Simultaneously Qualify a Biomarker Algorithm for Prognosis of Risk of Developing Mild Cognitive Impairment due to Alzheimer’s...|Mild cognitive impairment due to Alzheimer’s disease|18.1|100000004852|10009846|Cognitive impairment|LLT|Elderly|Male, Female|GB (Ongoing) IT (Prematurely Ended) DE (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|36|Total number of trials|nc|nc|nc|nc|2011-005298-22|Lu_AA21004_202|2012-08-08|Takeda Development Centre Europe Ltd.|A Randomized, Double-Blind, Parallel-Group, Placebo-Controlled, Active-Referenced, Flexible Dose Study on the Efficacy of Lu AA21004 on Cognitive Dysfunction in Adult Subjects with Major Depressive...|Cognitive Function in Major Depressive Disorder (MDD)| | | | | |Adults, Elderly|Male, Female|DE (Completed) FI (Completed) BG (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|37|Total number of trials|nc|nc|nc|nc|2007-005263-97|CS0011-A-U302|2008-02-28|DAIICHI SANKYO PHARMA DEVELOPMENT|A RANDOMIZED, DOUBLE-BLIND, PLACEBO AND ACTIVE COMPARATOR-CONTROLLED, PARALLEL-GROUP STUDY OF THE EFFICACY AND SAFETY OF RIVOGLITAZONE AS MONOTHERAPY TREATMENT OF TYPE 2 DIABETES MELLITUS|The study population is comprised of subjects with a prior diagnosis of type 2 diabetes who are either currently untreated (ie, not receiving antihyperglycemic medication within at least 2 months p...|9.1| |10063624|Type II diabetes mellitus inadequate control|LLT|Adults, Elderly|Male, Female|HU (Prematurely Ended) LT (Prematurely Ended) DK (Prematurely Ended) |View results

20170102_004904|4|Clinicaltrials|nc|takeda|38|Total number of trials|nc|nc|nc|nc|2014-001642-16|TAK-390MR_108|2015-04-24|Takeda Development Centre Europe Ltd.|A Phase 1, Randomized, Open-Label, Parallel-Design, Multicenter Study to Evaluate the Pharmacokinetics, Safety, and Pharmacodynamics of Dexlansoprazole Delayed-Release Capsules in Infants Aged 1 ...|Acid-Related Disorders in Infants aged 1 to 11 months|17.1|100000004856|10066874|Gastroesophageal reflux disease|LLT|Infants and toddlers, Under 18|Male, Female|IT (Temporarily Halted) PL (Temporarily Halted) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|38|Total number of trials|nc|nc|nc|nc|2014-001642-16|TAK-390MR_108|2015-04-24|Takeda Development Centre Europe Ltd.|A Phase 1, Randomized, Open-Label, Parallel-Design, Multicenter Study to Evaluate the Pharmacokinetics, Safety, and Pharmacodynamics of Dexlansoprazole Delayed-Release Capsules in Infants Aged 1 ...|Acid-Related Disorders in Infants aged 1 to 11 months|17.1|100000004856|10000479|Acid reflux (oesophageal)|LLT|Infants and toddlers, Under 18|Male, Female|IT (Temporarily Halted) PL (Temporarily Halted) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|38|Total number of trials|nc|nc|nc|nc|2014-001642-16|TAK-390MR_108|2015-04-24|Takeda Development Centre Europe Ltd.|A Phase 1, Randomized, Open-Label, Parallel-Design, Multicenter Study to Evaluate the Pharmacokinetics, Safety, and Pharmacodynamics of Dexlansoprazole Delayed-Release Capsules in Infants Aged 1 ...|Acid-Related Disorders in Infants aged 1 to 11 months|17.1|100000004856|10019326|Heartburn|LLT|Infants and toddlers, Under 18|Male, Female|IT (Temporarily Halted) PL (Temporarily Halted) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|38|Total number of trials|nc|nc|nc|nc|2014-001642-16|TAK-390MR_108|2015-04-24|Takeda Development Centre Europe Ltd.|A Phase 1, Randomized, Open-Label, Parallel-Design, Multicenter Study to Evaluate the Pharmacokinetics, Safety, and Pharmacodynamics of Dexlansoprazole Delayed-Release Capsules in Infants Aged 1 ...|Acid-Related Disorders in Infants aged 1 to 11 months|17.1|100000004856|10063657|Erosive esophagitis|LLT|Infants and toddlers, Under 18|Male, Female|IT (Temporarily Halted) PL (Temporarily Halted) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|39|Total number of trials|nc|nc|nc|nc|2015-000480-14|MLN0002SC-3027|2016-03-21|Takeda Development Centre Europe, Ltd.|A Phase 3 Randomized, Double-Blind, Placebo-Controlled Study, with a Vedolizumab IV Reference Arm, to Evaluate the Efficacy and Safety of Vedolizumab Subcutaneous as Maintenance Therapy in Subjects...|Ulcerative Colitis|19.0|100000004856|10045365|Ulcerative colitis|LLT|Adults, Elderly|Male, Female|NL (Ongoing) SK (Ongoing) CZ (Ongoing) BG (Ongoing) GB (Ongoing) DE (Ongoing) BE (Ongoing) SE (Ongoing) DK (Ongoing) LT (Ongoing) ES (Ongoing) HU (Ongoing) HR (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|40|Total number of trials|nc|nc|nc|nc|2012-005653-22|NL13PAR|2014-08-25|Netherlands Cancer Institute-Antoni van Leeuwenhoek Hospital [...] 1. Netherlands Cancer Institute-Antoni van Leeuwenhoek Hospital 2. Takeda Nederland B.V.|TachoSil patch application as replacement of closed suction wound drainage by parotid gland surgery; a prospective study.|The surgical procedure of parotidectomy whereby a protid tumor is removed. During this procedure the wound surface will be covered by the surgical sealing patch TachoSil instead of the use of a c...| | | | | |Adults|Male, Female|NL (Ongoing) |(No results available)

